subject,age,gender,word,list,oddtype,rating
1,24,M,altura,10,emotional,9
1,24,M,torre,10,emotional,7
1,24,M,brinco,10,emotional,9
1,24,M,balcon,10,emotional,9
1,24,M,andamio,10,emotional,7
1,24,M,ventana,10,emotional,9
1,24,M,tejado,10,emotional,8
1,24,M,edificio,10,emotional,9
1,24,M,altillo,10,emotional,4
1,24,M,cima,10,emotional,5
1,24,M,bajada,10,emotional,8
1,24,M,puente,10,emotional,9
1,24,M,rascacielos,10,emotional,8
1,24,M,ceguera,11,emotional,1
1,24,M,vision,11,emotional,8
1,24,M,lupa,11,emotional,5
1,24,M,fotografia,11,emotional,9
1,24,M,cine,11,emotional,10
1,24,M,vista,11,emotional,7
1,24,M,ojo,11,emotional,8
1,24,M,panorama,11,emotional,10
1,24,M,video,11,emotional,10
1,24,M,escena,11,emotional,9
1,24,M,observador,11,emotional,7
1,24,M,optica,11,emotional,6
1,24,M,ojeada,11,emotional,6
1,24,M,mirada,11,emotional,7
1,24,M,ahogado,12,emotional,10
1,24,M,agua,12,emotional,10
1,24,M,ferri,12,emotional,3
1,24,M,piscina,12,emotional,5
1,24,M,nadador,12,emotional,9
1,24,M,lago,12,emotional,7
1,24,M,arroyo,12,emotional,4
1,24,M,costa,12,emotional,6
1,24,M,rio,12,emotional,7
1,24,M,canal,12,emotional,7
1,24,M,cauce,12,emotional,7
1,24,M,lancha,12,emotional,10
1,24,M,mar,12,emotional,8
1,24,M,estanque,12,emotional,6
1,24,M,morgue,13,emotional,2
1,24,M,deposito,13,emotional,6
1,24,M,baul,13,emotional,6
1,24,M,armario,13,emotional,6
1,24,M,consigna,13,emotional,5
1,24,M,nevera,13,emotional,4
1,24,M,casillero,13,emotional,7
1,24,M,envase,13,emotional,7
1,24,M,almacen,13,emotional,7
1,24,M,contenedor,13,emotional,6
1,24,M,caja,13,emotional,7
1,24,M,bote,13,emotional,7
1,24,M,trastero,13,emotional,7
1,24,M,cajon,13,emotional,7
1,24,M,hambruna,14,emotional,1
1,24,M,alimento,14,emotional,8
1,24,M,restaurante,14,emotional,9
1,24,M,cena,14,emotional,9
1,24,M,cocinero,14,emotional,9
1,24,M,sopa,14,emotional,8
1,24,M,comida,14,emotional,9
1,24,M,almuerzo,14,emotional,8
1,24,M,merienda,14,emotional,8
1,24,M,cocina,14,emotional,9
1,24,M,desayuno,14,emotional,8
1,24,M,despensa,14,emotional,9
1,24,M,buffet,14,emotional,9
1,24,M,bocata,14,emotional,6
1,24,M,amputacion,15,emotional,5
1,24,M,extremidad,15,emotional,8
1,24,M,hombro,15,emotional,3
1,24,M,mano,15,emotional,3
1,24,M,cadera,15,emotional,9
1,24,M,muneca,15,emotional,3
1,24,M,articulacion,15,emotional,7
1,24,M,pantorrilla,15,emotional,9
1,24,M,pierna,15,emotional,10
1,24,M,nudillo,15,emotional,3
1,24,M,brazo,15,emotional,3
1,24,M,codo,15,emotional,3
