enc_pos,rec_pos,list_type,subject,item
8,2,emotional,26,oddball
7,,perceptual,26,oddball
12,2,emotional,26,oddball
7,,perceptual,26,oddball
7,,perceptual,26,oddball
12,6,perceptual,26,oddball
8,5,perceptual,26,oddball
11,8,emotional,26,oddball
7,5,perceptual,27,oddball
7,,emotional,27,oddball
9,5,perceptual,27,oddball
12,1,emotional,27,oddball
7,5,perceptual,27,oddball
12,4,perceptual,27,oddball
9,8,perceptual,27,oddball
12,,perceptual,27,oddball
11,11,emotional,27,oddball
7,,emotional,27,oddball
8,4,emotional,27,oddball
7,5,emotional,27,oddball
12,3,emotional,27,oddball
7,8,emotional,27,oddball
12,8,emotional,27,oddball
7,6,perceptual,27,oddball
11,,emotional,27,oddball
8,9,perceptual,27,oddball
8,8,emotional,27,oddball
7,7,emotional,27,oddball
12,7,emotional,27,oddball
7,3,perceptual,27,oddball
9,2,perceptual,27,oddball
7,6,perceptual,27,oddball
12,8,perceptual,27,oddball
8,1,emotional,27,oddball
8,7,emotional,27,oddball
7,12,perceptual,27,oddball
12,11,emotional,27,oddball
12,8,emotional,27,oddball
7,10,perceptual,27,oddball
11,1,emotional,27,oddball
9,5,perceptual,27,oddball
7,,perceptual,27,oddball
7,,perceptual,27,oddball
8,,emotional,27,oddball
8,,perceptual,27,oddball
7,,emotional,27,oddball
7,,perceptual,27,oddball
7,,perceptual,27,oddball
11,,emotional,28,oddball
9,,perceptual,28,oddball
7,,perceptual,28,oddball
12,1,emotional,28,oddball
8,2,emotional,28,oddball
7,7,emotional,28,oddball
7,1,emotional,28,oddball
12,3,perceptual,28,oddball
11,,emotional,28,oddball
8,8,perceptual,28,oddball
9,8,perceptual,28,oddball
7,1,emotional,28,oddball
9,,emotional,28,oddball
9,6,perceptual,28,oddball
8,,perceptual,28,oddball
9,,perceptual,28,oddball
8,7,emotional,28,oddball
7,4,perceptual,28,oddball
8,,emotional,28,oddball
12,3,emotional,28,oddball
7,,perceptual,28,oddball
11,5,emotional,28,oddball
9,,emotional,28,oddball
8,,perceptual,28,oddball
9,,emotional,28,oddball
7,,emotional,28,oddball
7,,perceptual,28,oddball
7,11,emotional,28,oddball
11,5,perceptual,28,oddball
7,3,emotional,28,oddball
12,9,perceptual,28,oddball
7,,perceptual,28,oddball
8,1,perceptual,28,oddball
12,2,perceptual,28,oddball
8,,emotional,28,oddball
9,,perceptual,28,oddball
9,8,emotional,28,oddball
12,3,perceptual,28,oddball
12,9,perceptual,28,oddball
7,1,emotional,28,oddball
11,,emotional,29,oddball
7,,emotional,29,oddball
7,,perceptual,29,oddball
7,3,emotional,29,oddball
7,2,perceptual,29,oddball
12,2,perceptual,29,oddball
9,1,emotional,29,oddball
12,1,perceptual,29,oddball
11,7,perceptual,29,oddball
9,,perceptual,29,oddball
7,5,perceptual,29,oddball
8,8,perceptual,29,oddball
7,6,emotional,29,oddball
12,4,emotional,29,oddball
12,3,emotional,29,oddball
9,3,emotional,29,oddball
7,2,emotional,29,oddball
7,2,emotional,29,oddball
12,4,emotional,29,oddball
9,,perceptual,29,oddball
11,3,emotional,29,oddball
7,9,perceptual,29,oddball
12,,emotional,29,oddball
12,4,emotional,29,oddball
12,2,emotional,29,oddball
7,8,emotional,29,oddball
12,1,emotional,29,oddball
11,3,emotional,29,oddball
8,2,emotional,29,oddball
9,5,perceptual,29,oddball
12,2,perceptual,29,oddball
7,,perceptual,29,oddball
11,,perceptual,29,oddball
12,4,perceptual,29,oddball
12,,perceptual,29,oddball
11,,perceptual,29,oddball
11,,perceptual,29,oddball
7,,perceptual,29,oddball
12,,perceptual,29,oddball
12,,emotional,29,oddball
7,,emotional,30,oddball
7,,emotional,30,oddball
7,9,perceptual,30,oddball
7,5,perceptual,30,oddball
7,2,perceptual,30,oddball
7,9,emotional,30,oddball
7,5,emotional,30,oddball
12,1,emotional,30,oddball
7,2,perceptual,30,oddball
9,,emotional,30,oddball
7,4,emotional,30,oddball
12,2,perceptual,30,oddball
12,,emotional,30,oddball
8,3,emotional,30,oddball
12,7,perceptual,30,oddball
12,,emotional,30,oddball
8,8,perceptual,30,oddball
7,1,perceptual,30,oddball
7,8,perceptual,30,oddball
11,7,perceptual,30,oddball
8,4,emotional,30,oddball
7,4,perceptual,30,oddball
7,,emotional,30,oddball
11,5,perceptual,30,oddball
