subject,age,gender,word,salience,list,rating 
10,21,M,aire,neutral,5,3
10,21,M,boca,neutral,5,3
10,21,M,crimen,eodd,6,-2
10,21,M,libro,neutral,6,4
10,21,M,editor,neutral,6,2
10,21,M,protagonista,neutral,6,3
10,21,M,historia,neutral,6,3
10,21,M,novela,neutral,6,4
10,21,M,capitulo,neutral,6,4
10,21,M,texto,neutral,6,2
10,21,M,biografia,neutral,6,-1
10,21,M,continuacion,neutral,6,4
10,21,M,ficcion,neutral,6,3
10,21,M,cuento,neutral,6,2
10,21,M,trama,neutral,6,4
10,21,M,autor,neutral,6,3
10,21,M,cancer,eodd,7,-6
10,21,M,dia,neutral,7,2
10,21,M,estrella,neutral,7,4
10,21,M,luz,neutral,7,4
10,21,M,energia,neutral,7,4
10,21,M,chispa,neutral,7,-2
10,21,M,esplendor,neutral,7,3
10,21,M,reflectante,neutral,7,3
10,21,M,destello,neutral,7,-1
10,21,M,eclipse,neutral,7,5
10,21,M,sol,neutral,7,2
10,21,M,solarium,neutral,7,4
10,21,M,luminoso,neutral,7,4
10,21,M,amanecer,neutral,7,3
10,21,M,masacre,eodd,8,-6
10,21,M,gente,neutral,8,0
10,21,M,asamblea,neutral,8,-1
10,21,M,grupo,neutral,8,1
10,21,M,congreso,neutral,8,-1
10,21,M,dialogo,neutral,8,1
10,21,M,comunidad,neutral,8,0
10,21,M,concentracion,neutral,8,3
10,21,M,asociacion,neutral,8,-1
10,21,M,congregacion,neutral,8,-3
10,21,M,concurrencia,neutral,8,0
10,21,M,reunion,neutral,8,-2
10,21,M,simposio,neutral,8,0
10,21,M,invitados,neutral,8,3
10,21,M,terrorista,eodd,9,-6
10,21,M,publico,neutral,9,0
10,21,M,terminal,neutral,9,4
10,21,M,concierto,neutral,9,4
10,21,M,trafico,neutral,9,-4
10,21,M,teatro,neutral,9,5
10,21,M,estadio,neutral,9,-2
10,21,M,aeropuerto,neutral,9,4
10,21,M,estacion,neutral,9,3
10,21,M,metro,neutral,9,3
10,21,M,avion,neutral,9,4
10,21,M,encuentro,neutral,9,3
10,21,M,festival,neutral,9,5
10,21,M,pasajero,neutral,9,2
10,21,M,suicida,eodd,10,-6
10,21,M,altura,neutral,10,-1
10,21,M,torre,neutral,10,1
10,21,M,brinco,neutral,10,1
10,21,M,balcon,neutral,10,3
10,21,M,andamio,neutral,10,-2
10,21,M,ventana,neutral,10,2
10,21,M,tejado,neutral,10,3
10,21,M,edificio,neutral,10,0
10,21,M,altillo,neutral,10,1
10,21,M,cima,neutral,10,3
10,21,M,bajada,neutral,10,3
10,21,M,puente,neutral,10,2
10,21,M,rascacielos,neutral,10,0
10,21,M,ceguera,eodd,11,-6
10,21,M,vision,neutral,11,3
10,21,M,lupa,neutral,11,3
10,21,M,fotografia,neutral,11,4
10,21,M,cine,neutral,11,4
10,21,M,vista,neutral,11,2
10,21,M,ojo,neutral,11,3
10,21,M,panorama,neutral,11,3
10,21,M,video,neutral,11,3
10,21,M,escena,neutral,11,2
10,21,M,observador,neutral,11,3
10,21,M,optica,neutral,11,0
10,21,M,ojeada,neutral,11,2
10,21,M,mirada,neutral,11,3
10,21,M,ahogado,eodd,12,-6
10,21,M,agua,neutral,12,4
10,21,M,ferri,neutral,12,4
10,21,M,piscina,neutral,12,4
10,21,M,nadador,neutral,12,3
10,21,M,lago,neutral,12,3
10,21,M,arroyo,neutral,12,3
10,21,M,costa,neutral,12,3
10,21,M,rio,neutral,12,4
10,21,M,canal,neutral,12,2
10,21,M,cauce,neutral,12,2
10,21,M,lancha,neutral,12,1
10,21,M,mar,neutral,12,3
10,21,M,estanque,neutral,12,2
10,21,M,morgue,eodd,13,-5
10,21,M,deposito,neutral,13,-3
10,21,M,baul,neutral,13,1
10,21,M,armario,neutral,13,0
10,21,M,consigna,neutral,13,-1
10,21,M,nevera,neutral,13,1
10,21,M,casillero,neutral,13,0
10,21,M,envase,neutral,13,0
10,21,M,almacen,neutral,13,-1
10,21,M,contenedor,neutral,13,-2
10,21,M,caja,neutral,13,0
10,21,M,bote,neutral,13,0
10,21,M,trastero,neutral,13,0
10,21,M,cajon,neutral,13,0
10,21,M,hambruna,eodd,14,-6
10,21,M,alimento,neutral,14,4
10,21,M,restaurante,neutral,14,4
10,21,M,cena,neutral,14,4
10,21,M,cocinero,neutral,14,3
10,21,M,sopa,neutral,14,2
10,21,M,comida,neutral,14,3
10,21,M,almuerzo,neutral,14,3
10,21,M,merienda,neutral,14,4
10,21,M,cocina,neutral,14,2
10,21,M,desayuno,neutral,14,-1
10,21,M,despensa,neutral,14,4
10,21,M,buffet,neutral,14,4
10,21,M,bocata,neutral,14,5
10,21,M,amputacion,eodd,15,-6
10,21,M,extremidad,neutral,15,0
10,21,M,hombro,neutral,15,2
10,21,M,mano,neutral,15,3
10,21,M,cadera,neutral,15,1
10,21,M,muneca,neutral,15,1
10,21,M,articulacion,neutral,15,2
10,21,M,pantorrilla,neutral,15,1
10,21,M,pierna,neutral,15,2
