subject,oddballtype,transition,direction,wordposition,CRP
4,highrec,to,Forwards,3,0
5,highrec,to,Forwards,3,0
6,highrec,to,Forwards,3,NaN
7,highrec,to,Forwards,3,NaN
9,highrec,to,Forwards,3,0
10,highrec,to,Forwards,3,0
11,highrec,to,Forwards,3,0
12,highrec,to,Forwards,3,0
14,highrec,to,Forwards,3,0.4
15,highrec,to,Forwards,3,0
16,highrec,to,Forwards,3,0.333333333333333
17,highrec,to,Forwards,3,0
18,highrec,to,Forwards,3,0
19,highrec,to,Forwards,3,0
20,highrec,to,Forwards,3,0
21,highrec,to,Forwards,3,0
22,highrec,to,Forwards,3,0.25
23,highrec,to,Forwards,3,0
24,highrec,to,Forwards,3,NaN
25,highrec,to,Forwards,3,0
26,highrec,to,Forwards,3,0
27,highrec,to,Forwards,3,0.2
28,highrec,to,Forwards,3,0
29,highrec,to,Forwards,3,NaN
30,highrec,to,Forwards,3,0
31,highrec,to,Forwards,3,0
32,highrec,to,Forwards,3,0.2
33,highrec,to,Forwards,3,0.333333333333333
34,highrec,to,Forwards,3,NaN
35,highrec,to,Forwards,3,0
36,highrec,to,Forwards,3,0
37,highrec,to,Forwards,3,1
38,highrec,to,Forwards,3,0
39,highrec,to,Forwards,3,0.5
40,highrec,to,Forwards,3,0
41,highrec,to,Forwards,3,NaN
42,highrec,to,Forwards,3,0.25
43,highrec,to,Forwards,3,0.333333333333333
44,highrec,to,Forwards,3,NaN
45,highrec,to,Forwards,3,0
46,highrec,to,Forwards,3,0
47,highrec,to,Forwards,3,0
48,highrec,to,Forwards,3,0
49,highrec,to,Forwards,3,NaN
50,highrec,to,Forwards,3,0.333333333333333
51,highrec,to,Forwards,3,0
52,highrec,to,Forwards,3,0
53,highrec,to,Forwards,3,1
54,highrec,to,Forwards,3,NaN
55,highrec,to,Forwards,3,0
56,highrec,to,Forwards,3,0.333333333333333
57,highrec,to,Forwards,3,0
58,highrec,to,Forwards,3,NaN
59,highrec,to,Forwards,3,0
60,highrec,to,Forwards,3,0
61,highrec,to,Forwards,3,NaN
62,highrec,to,Forwards,3,0
63,highrec,to,Forwards,3,1
64,highrec,to,Forwards,3,0
65,highrec,to,Forwards,3,0.5
66,highrec,to,Forwards,3,0
67,highrec,to,Forwards,3,0.333333333333333
68,highrec,to,Forwards,3,0
69,highrec,to,Forwards,3,0.571428571428571
70,highrec,to,Forwards,3,NaN
71,highrec,to,Forwards,3,NaN
72,highrec,to,Forwards,3,0
73,highrec,to,Forwards,3,0
74,highrec,to,Forwards,3,NaN
75,highrec,to,Forwards,3,0.333333333333333
4,highrec,to,Forwards,4,NaN
5,highrec,to,Forwards,4,1
6,highrec,to,Forwards,4,0
7,highrec,to,Forwards,4,0
9,highrec,to,Forwards,4,0
10,highrec,to,Forwards,4,0
11,highrec,to,Forwards,4,0.4
12,highrec,to,Forwards,4,0.166666666666667
