subject,oddballtype,transition,direction,wordposition,CRP
48,amn,to,Forwards,3,NaN
49,amn,to,Forwards,3,NaN
50,amn,to,Forwards,3,0
51,amn,to,Forwards,3,0
52,amn,to,Forwards,3,0
53,amn,to,Forwards,3,0
54,amn,to,Forwards,3,0
55,amn,to,Forwards,3,NaN
56,amn,to,Forwards,3,0
57,amn,to,Forwards,3,0
58,amn,to,Forwards,3,0
59,amn,to,Forwards,3,0
60,amn,to,Forwards,3,NaN
61,amn,to,Forwards,3,NaN
62,amn,to,Forwards,3,0
63,amn,to,Forwards,3,1
64,amn,to,Forwards,3,0
65,amn,to,Forwards,3,0.5
66,amn,to,Forwards,3,NaN
67,amn,to,Forwards,3,1
68,amn,to,Forwards,3,0
69,amn,to,Forwards,3,0
70,amn,to,Forwards,3,0
71,amn,to,Forwards,3,NaN
73,amn,to,Forwards,3,0
74,amn,to,Forwards,3,NaN
75,amn,to,Forwards,3,0
4,amn,to,Forwards,4,NaN
5,amn,to,Forwards,4,0
6,amn,to,Forwards,4,NaN
7,amn,to,Forwards,4,NaN
9,amn,to,Forwards,4,0
10,amn,to,Forwards,4,0
11,amn,to,Forwards,4,0.5
12,amn,to,Forwards,4,0.333333333333333
14,amn,to,Forwards,4,0
15,amn,to,Forwards,4,0
16,amn,to,Forwards,4,NaN
17,amn,to,Forwards,4,0
18,amn,to,Forwards,4,0
19,amn,to,Forwards,4,NaN
20,amn,to,Forwards,4,NaN
21,amn,to,Forwards,4,0
22,amn,to,Forwards,4,0
23,amn,to,Forwards,4,0.333333333333333
24,amn,to,Forwards,4,0
25,amn,to,Forwards,4,NaN
26,amn,to,Forwards,4,0
27,amn,to,Forwards,4,NaN
28,amn,to,Forwards,4,0
29,amn,to,Forwards,4,NaN
30,amn,to,Forwards,4,1
31,amn,to,Forwards,4,0.5
32,amn,to,Forwards,4,0
33,amn,to,Forwards,4,NaN
34,amn,to,Forwards,4,0.5
35,amn,to,Forwards,4,0
36,amn,to,Forwards,4,0
37,amn,to,Forwards,4,0
38,amn,to,Forwards,4,NaN
39,amn,to,Forwards,4,0.5
40,amn,to,Forwards,4,0
41,amn,to,Forwards,4,NaN
42,amn,to,Forwards,4,1
43,amn,to,Forwards,4,NaN
44,amn,to,Forwards,4,0
45,amn,to,Forwards,4,1
46,amn,to,Forwards,4,NaN
47,amn,to,Forwards,4,NaN
48,amn,to,Forwards,4,0
49,amn,to,Forwards,4,0.5
50,amn,to,Forwards,4,NaN
51,amn,to,Forwards,4,1
52,amn,to,Forwards,4,0
53,amn,to,Forwards,4,NaN
54,amn,to,Forwards,4,0
55,amn,to,Forwards,4,0
56,amn,to,Forwards,4,0.5
57,amn,to,Forwards,4,0
58,amn,to,Forwards,4,0
59,amn,to,Forwards,4,0
60,amn,to,Forwards,4,NaN
61,amn,to,Forwards,4,NaN
62,amn,to,Forwards,4,0
63,amn,to,Forwards,4,0
64,amn,to,Forwards,4,NaN
65,amn,to,Forwards,4,0
66,amn,to,Forwards,4,NaN
67,amn,to,Forwards,4,NaN
68,amn,to,Forwards,4,0
69,amn,to,Forwards,4,0.5
70,amn,to,Forwards,4,1
71,amn,to,Forwards,4,0
73,amn,to,Forwards,4,NaN
74,amn,to,Forwards,4,NaN
75,amn,to,Forwards,4,0
4,amn,to,Forwards,5,0
5,amn,to,Forwards,5,0
6,amn,to,Forwards,5,NaN
7,amn,to,Forwards,5,NaN
9,amn,to,Forwards,5,0.5
10,amn,to,Forwards,5,0
11,amn,to,Forwards,5,0.5
12,amn,to,Forwards,5,0
14,amn,to,Forwards,5,0
15,amn,to,Forwards,5,NaN
16,amn,to,Forwards,5,0.333333333333333
17,amn,to,Forwards,5,0
18,amn,to,Forwards,5,0
19,amn,to,Forwards,5,NaN
20,amn,to,Forwards,5,NaN
21,amn,to,Forwards,5,0
22,amn,to,Forwards,5,0
23,amn,to,Forwards,5,0
24,amn,to,Forwards,5,NaN
25,amn,to,Forwards,5,0
26,amn,to,Forwards,5,0
27,amn,to,Forwards,5,0
28,amn,to,Forwards,5,0
29,amn,to,Forwards,5,0
30,amn,to,Forwards,5,0
31,amn,to,Forwards,5,0
32,amn,to,Forwards,5,0.5
33,amn,to,Forwards,5,1
34,amn,to,Forwards,5,0
35,amn,to,Forwards,5,0
36,amn,to,Forwards,5,0
37,amn,to,Forwards,5,0
38,amn,to,Forwards,5,0
39,amn,to,Forwards,5,0
40,amn,to,Forwards,5,0
41,amn,to,Forwards,5,NaN
42,amn,to,Forwards,5,0
43,amn,to,Forwards,5,NaN
44,amn,to,Forwards,5,NaN
45,amn,to,Forwards,5,0
46,amn,to,Forwards,5,0
47,amn,to,Forwards,5,0
48,amn,to,Forwards,5,0
49,amn,to,Forwards,5,0
50,amn,to,Forwards,5,0
51,amn,to,Forwards,5,0
52,amn,to,Forwards,5,0.75
53,amn,to,Forwards,5,0
54,amn,to,Forwards,5,0
55,amn,to,Forwards,5,NaN
56,amn,to,Forwards,5,NaN
57,amn,to,Forwards,5,1
58,amn,to,Forwards,5,0
59,amn,to,Forwards,5,0
60,amn,to,Forwards,5,1
61,amn,to,Forwards,5,0.5
62,amn,to,Forwards,5,0
63,amn,to,Forwards,5,0
64,amn,to,Forwards,5,0.5
65,amn,to,Forwards,5,0
66,amn,to,Forwards,5,0
67,amn,to,Forwards,5,0
68,amn,to,Forwards,5,0.5
69,amn,to,Forwards,5,0
70,amn,to,Forwards,5,0
71,amn,to,Forwards,5,0
73,amn,to,Forwards,5,0
74,amn,to,Forwards,5,0
75,amn,to,Forwards,5,0
